"Gender (pre)" pval "Gender (post)" pval "Pandemic (male)" pval "Pandemic (female)." pval "Gender x Pan." pval feature level "# missing" "% missing"
-0.003046172944948158 0.9496660797941305 0.018346956081610848 0.9496660797941305 0.023350736076640646 0.9496660797941305 0.04474386510319965 0.9496660797941305 0.021393129026559005 0.9496660797941305 GeneralHealth GeneralHealth 29 0.007702523240371846
-0.036165577067833965 0.4154305181327549 -0.05735841555025058 0.4154305181327549 0.054672204719941 0.4154305181327549 0.033479366237524386 0.4154305181327549 -0.021192838482416612 0.4154305181327549 OwnAbilityTakeCareHealth OwnAbilityTakeCareHealth 27 0.007171314741035857
-0.09437874596759456 3.8255148314381615e-5 -0.12554037870057616 3.8255148314381615e-5 0.013480980476741448 3.8255148314381615e-5 -0.017680652256240152 3.8255148314381615e-5 -0.0311616327329816 3.8255148314381615e-5 MedConditions_Depression MedConditions_Depression 40 0.010624169986719787
-0.006866679111311922 0.882118748657178 -0.011055855055138853 0.882118748657178 0.003295002166775219 0.882118748657178 -8.941737770517123e-4 0.882118748657178 -0.004189175943826931 0.882118748657178 LittleInterest LittleInterest 72 0.019123505976095617
-0.1086402667590875 0.007957240763201943 -0.061793732420599455 0.007957240763201943 -0.03382898198462057 0.007957240763201943 0.013017552353867479 0.007957240763201943 0.046846534338488045 0.007957240763201943 Hopeless Hopeless 81 0.02151394422310757
-0.14878094314054488 0.0012258410359628313 -0.1904767970147948 0.0012258410359628313 -0.017561636520108947 0.0012258410359628313 -0.05925749039435887 0.0012258410359628313 -0.04169585387424992 0.0012258410359628313 Nervous Nervous 71 0.018857901726427623
-0.22533342987207042 1.1914416340577782e-6 -0.19204710388651478 1.1914416340577782e-6 -0.023021844654800755 1.1914416340577782e-6 0.010264481330754895 1.1914416340577782e-6 0.03328632598555565 1.1914416340577782e-6 Worrying Worrying 70 0.01859229747675963
-0.13897160844101122 0.01939615291622543 -0.07814799880836747 0.01939615291622543 -0.10000183379991896 0.01939615291622543 -0.039178224167275205 0.01939615291622543 0.06082360963264376 0.01939615291622543 Threatened_Values Threatened_Values 160 0.04249667994687915
-0.17036721789182027 0.0023333744291080573 -0.06032130907317952 0.0023333744291080573 -0.14460269331640851 0.0023333744291080573 -0.034556784497767765 0.0023333744291080573 0.11004590881864075 0.0023333744291080573 Threatened_Strengths Threatened_Strengths 161 0.042762284196547144
0.014359632892835 0.944323190574231 0.542852074919707 0.944323190574231 -0.43581257205097257 0.944323190574231 0.09267986997589939 0.944323190574231 0.528492442026872 0.944323190574231 MostImportantValues 2 162 0.04302788844621514
0.40335148776401314 0.17058400803427923 0.5890888426305007 0.17058400803427923 -0.011573031102132852 0.17058400803427923 0.1741643237643547 0.17058400803427923 0.18573735486648754 0.17058400803427923 MostImportantValues 3 162 0.04302788844621514
0.234953825596415 0.3726274814246127 -0.19217014686940168 0.3726274814246127 -0.13378708494510377 0.3726274814246127 -0.5609110574109204 0.3726274814246127 -0.4271239724658167 0.3726274814246127 MostImportantValues 4 162 0.04302788844621514
0.4601025322207886 0.056050071483655456 1.2567254972629835 0.056050071483655456 -0.451516991534235 0.056050071483655456 0.34510597350795996 0.056050071483655456 0.796622965042195 0.056050071483655456 MostImportantValues 5 162 0.04302788844621514
0.07902786068855885 0.6995784280796293 0.3998201831706616 0.6995784280796293 -0.17452184725619843 0.6995784280796293 0.14627047522590428 0.6995784280796293 0.3207923224821027 0.6995784280796293 MostImportantValues 6 162 0.04302788844621514
0.027575040269406357 0.8927003633271433 0.6558610893615717 0.8927003633271433 -0.20771418520375892 0.8927003633271433 0.4205718638884064 0.8927003633271433 0.6282860490921653 0.8927003633271433 MostImportantValues 7 162 0.04302788844621514
