"Gender (pre)" pval "Gender (post)" pval "Pandemic (male)" pval "Pandemic (female)." pval "Gender x Pan." pval feature level "# missing" "% missing"
-0.6500697385970392 1.2043824424805977e-6 -0.5527307551247281 1.2043824424805977e-6 -0.006203065778146524 1.2043824424805977e-6 0.0911359176941645 1.2043824424805977e-6 0.09733898347231103 1.2043824424805977e-6 Electronic_SelfHealthInfo 2 34 0.009030544488711819
-0.2981821927466915 0.01115435108727631 -0.12441845110490846 0.01115435108727631 -0.26594555939788245 0.01115435108727631 -0.0921818177560994 0.01115435108727631 0.17376374164178304 0.01115435108727631 Electronic_TalkDoctor 2 61 0.016201859229747675
-0.471880670616614 6.399512774301109e-5 -0.3761003900111304 6.399512774301109e-5 -0.007833607371043026 6.399512774301109e-5 0.08794667323444061 6.399512774301109e-5 0.09578028060548363 6.399512774301109e-5 Electronic_TestResults 2 73 0.019389110225763614
-0.21381542716398433 0.06134810557313165 -0.35536277440230074 0.06134810557313165 -0.05777317450966708 0.06134810557313165 -0.19932052174798348 0.06134810557313165 -0.1415473472383164 0.06134810557313165 Electronic_MadeAppts 2 61 0.016201859229747675
-0.4231088314302193 7.740989373662582e-4 -0.3938065972889818 7.740989373662582e-4 -0.09811002050642675 7.740989373662582e-4 -0.06880778636518925 7.740989373662582e-4 0.029302234141237504 7.740989373662582e-4 TabletHealthWellnessApps 2 584 0.1551128818061089
0.12044040387618293 0.7979054378082343 -0.5936577131429431 0.7979054378082343 0.7927549577906299 0.7979054378082343 0.07865684077150381 0.7979054378082343 -0.7140981170191261 0.7979054378082343 TabletHealthWellnessApps 3 584 0.1551128818061089
-0.4400529154548366 0.08267257523801731 -0.4064370213748881 0.08267257523801731 0.05229892698005855 0.08267257523801731 0.08591482106000706 0.08267257523801731 0.033615894079948506 0.08267257523801731 UsedHealthWellnessApps 2 2068 0.549269588313413
16.801962583774614 0.9888823728455107 0.58985235636111355 0.9888823728455107 15.702886329490996 0.9888823728455107 -0.5092238979225048 0.9888823728455107 -16.2121102274135 0.9888823728455107 UsedHealthWellnessApps 3 2068 0.549269588313413
-0.49205467555229565 1.1801903472575188e-4 -0.46334388782323677 1.1801903472575188e-4 0.02787014368338116 1.1801903472575188e-4 0.05658093141244003 1.1801903472575188e-4 0.02871078772905887 1.1801903472575188e-4 Tablet_AchieveGoal 2 608 0.16148738379814076
-0.3245831856975329 0.009359761455798666 -0.1605609845835383 0.009359761455798666 -0.03808094978482272 0.009359761455798666 0.12594125132917192 0.009359761455798666 0.16402220111399463 0.009359761455798666 Tablet_MakeDecision 2 619 0.16440903054448872
-0.19316608422558434 0.12213928478452216 -0.2956529112256283 0.12213928478452216 -0.008979740211055014 0.12213928478452216 -0.11146656721109902 0.12213928478452216 -0.102486827000044 0.12213928478452216 Tablet_DiscussionsHCP 2 615 0.16334661354581673
-0.5379036092964832 4.038913142529791e-5 -0.5567344946967636 4.038913142529791e-5 0.003135706653551868 4.038913142529791e-5 -0.015695178746728537 4.038913142529791e-5 -0.018830885400280405 4.038913142529791e-5 WearableDevTrackHealth 2 46 0.012217795484727756
0.10426626106923417 0.7068963767283718 0.016529976187766915 0.7068963767283718 -0.1691591261521465 0.7068963767283718 -0.2568954110336138 0.7068963767283718 -0.08773628488146726 0.7068963767283718 FreqWearDevTrackHealth 2 2728 0.7245683930942896
-0.5339582000151321 0.14888028073586979 0.344030607966911 0.14888028073586979 -0.9080377647107494 0.14888028073586979 -0.030048956728706333 0.14888028073586979 0.877988807982043 0.14888028073586979 FreqWearDevTrackHealth 3 2728 0.7245683930942896
-0.2918041620747021 0.5677645527009514 0.11090977932042423 0.5677645527009514 0.27636607286069775 0.5677645527009514 0.6790800142558241 0.5677645527009514 0.40271394139512634 0.5677645527009514 FreqWearDevTrackHealth 4 2728 0.7245683930942896
-0.0354708557852787 0.920749560487488 0.5020290416233184 0.920749560487488 -0.5351154618347922 0.920749560487488 0.002384435573804966 0.920749560487488 0.5374998974085972 0.920749560487488 FreqWearDevTrackHealth 5 2728 0.7245683930942896
0.19798159233417273 0.5238493896999741 -0.0038976097649522923 0.5238493896999741 0.21818778055993823 0.5238493896999741 0.01630857846081321 0.5238493896999741 -0.20187920209912502 0.5238493896999741 WillingShareData_HCP 2 2730 0.7250996015936255
0.2986404331196838 0.2628678852322644 -0.05645735342582858 0.2628678852322644 0.3470487167830043 0.2628678852322644 -0.008049069762508076 0.2628678852322644 -0.3550977865455124 0.2628678852322644 WillingShareData_YourFamily 2 2727 0.7243027888446215
-0.22115922540192806 0.32496704260298 -0.38496033452065526 0.32496704260298 0.0020406641581223977 0.32496704260298 -0.16176044496060477 0.32496704260298 -0.16380110911872717 0.32496704260298 WillingShareData_YourFriends 2 2726 0.7240371845949535
5.025994122451168e-4 0.9975330145761263 -0.038898743526099504 0.9975330145761263 -0.09368930696049241 0.9975330145761263 -0.13309064989883704 0.9975330145761263 -0.03940134293834462 0.9975330145761263 SharedHealthDeviceInfo 2 93 0.024701195219123506
-0.3750628806889155 0.1390784817534412 -0.3843723268894641 0.1390784817534412 -0.05139441693261943 0.1390784817534412 -0.060703863133168036 0.1390784817534412 -0.0093094462005486045 0.1390784817534412 SharedHealthDeviceInfo 3 93 0.024701195219123506
-0.8053459949189191 1.6503793837170621e-10 -0.49969176792601516 1.6503793837170621e-10 -0.40927906933083436 1.6503793837170621e-10 -0.1036248423379304 1.6503793837170621e-10 0.30565422699290395 1.6503793837170621e-10 IntRsn_VisitedSocNet 2 99 0.026294820717131476
